[01:49:38]: LWJGL Version: 3.2.3 build 13!
[01:49:38]: Game Version: 0.0A
[01:49:38]: Engine Version: 0.1A

[01:49:38]: Loading texture atlas(es):
[01:49:38]: Loading Other SIZE_512
[01:49:38]: Loading texture 1540146676067.png
[01:49:38]: Loading texture 1531696571587.jpg
[01:49:38]: Loading texture 1540142141108.png
[01:49:38]: Loading texture 1534681516009.png
[01:49:38]: Loading texture 1540093100131.jpg
[01:49:38]: Loading texture 1534874238973.png
[01:49:38]: Loading texture 1540142120113.jpg
[01:49:38]: Loading texture 1539376727340.jpg
[01:49:38]: Loading texture 1531688878833.png
[01:49:38]: Loading texture 1540142141108.jpg
[01:49:38]: Loading texture 1540141942289.jpg
[01:49:38]: Loading texture 1540139171163.jpg
[01:49:38]: Loading texture 1532305305099.jpg
[01:49:38]: Loading texture 1540160287192.jpg
[01:49:38]: Loading texture 1530192462674.jpg
[01:49:38]: Loading texture 1534366775880.png
[01:49:38]: Loading texture 1540139655460.jpg
[01:49:38]: Loading texture 1540493760334.png
[01:49:38]: Loading texture 1540333513771.jpg
[01:49:38]: Loading texture 1531692584494.jpg
[01:49:38]: Loading texture 1539213130067.jpg
[01:49:38]: Loading texture 1540138132856.jpg
[01:49:38]: Loading texture 1200px-bi_flag-svg.png
[01:49:38]: Loading texture 1539289916387.jpg
[01:49:38]: Loading texture 1540046285552.jpg
[01:49:38]: Loading texture 1539850671705.jpg
[01:49:38]: Loading texture 1540168411469.jpg
[01:49:38]: Loading texture 1540141453773.jpg
[01:49:38]: Loading texture 1539212443187.png
[01:49:38]: Loading texture 1531690192916.jpg
---------------------------------------------------------------
[01:49:38]: Loaded atlas appears to be 512 width and 512 height
---------------------------------------------------------------
[01:49:38]: Loading Minecraft Textures SIZE_16
[01:49:38]: Loading texture break7.png
[01:49:38]: Loading texture planks_oak.png
[01:49:38]: Loading texture willpick.png
[01:49:38]: Loading texture leaves_oak.png
[01:49:38]: Loading texture grass_top.png
[01:49:38]: Loading texture cobble.png
[01:49:38]: Loading texture chest_front.png
[01:49:38]: Loading texture chest_top.png
[01:49:38]: Loading texture stone3.png
[01:49:38]: Loading texture break6.png
[01:49:38]: Loading texture grassy2.png
[01:49:38]: Loading texture break2.png
[01:49:38]: Loading texture copper_ore.png
[01:49:38]: Loading texture furnace_front_on.png
[01:49:38]: Loading texture stone.png
[01:49:38]: Loading texture coal_ore.png
[01:49:38]: Loading texture playerimage.png
[01:49:38]: Loading texture will.png
[01:49:38]: Loading texture redstone_ore.png
[01:49:38]: Loading texture grassy3.png
[01:49:38]: Loading texture glowstone.png
[01:49:38]: Loading texture ironpick.png
[01:49:38]: Loading texture wood_shovel.png
[01:49:38]: Loading texture emerald.png
[01:49:38]: Loading texture iron_sword.png
[01:49:38]: Loading texture tnt_bottom.png
[01:49:38]: Loading texture crosshair.png
[01:49:38]: Loading texture stonepick.png
[01:49:38]: Loading texture diamond.png
[01:49:38]: Loading texture grass_side.png
[01:49:38]: Loading texture stone2.png
[01:49:38]: Loading texture redstone_dust.png
[01:49:38]: Loading texture cobalt.png
[01:49:38]: Loading texture woodenpick.png
[01:49:38]: Loading texture sand.png
[01:49:38]: Loading texture tinpick.png
[01:49:38]: Loading texture pine.png
[01:49:38]: Loading texture crafting_table_top.png
[01:49:38]: Loading texture clay.png
[01:49:38]: Loading texture stone_sword.png
[01:49:38]: Loading texture gold_ingot.png
[01:49:38]: Loading texture furnace_side.png
[01:49:38]: Loading texture break3.png
[01:49:38]: Loading texture flower_red.png
[01:49:38]: Loading texture oak.png
[01:49:38]: Loading texture gold_ore.png
[01:49:38]: Loading texture wood_axe.png
[01:49:38]: Loading texture void.png
[01:49:38]: Loading texture copperpick.png
[01:49:38]: Loading texture diamond_axe.png
[01:49:38]: Loading texture iron_ore.png
[01:49:38]: Loading texture stone_shovel.png
[01:49:38]: Loading texture tnt_side.png
[01:49:38]: Loading texture bookshelf.png
[01:49:38]: Loading texture double_plant_grass_top.png
[01:49:38]: Loading texture emerald_ore.png
[01:49:38]: Loading texture planks.png
[01:49:38]: Loading texture coal.png
[01:49:38]: Loading texture diamondpick.png
[01:49:38]: Loading texture break5.png
[01:49:38]: Loading texture break4.png
[01:49:38]: Loading texture furnace_top.png
[01:49:38]: Loading texture tnt_top.png
[01:49:38]: Loading texture diamond_sword.png
[01:49:38]: Loading texture crafting_table_side.png
[01:49:38]: Loading texture coal_block.png
